T: 921;  Temp: 36.00; Luminosidade: 45.00
T: 922;  Temp: 36.00; Luminosidade: 45.00
T: 923;  Temp: 36.00; Luminosidade: 45.00
T: 924;  Temp: 36.00; Luminosidade: 45.00
T: 925;  Temp: 36.00; Luminosidade: 45.00
T: 926;  Temp: 36.00; Luminosidade: 45.00
T: 927;  Temp: 36.00; Luminosidade: 45.00
T: 928;  Temp: 36.00; Luminosidade: 45.00
T: 929;  Temp: 36.00; Luminosidade: 45.00
T: 930;  Temp: 35.00; Luminosidade: 45.00
T: 931;  Temp: 36.00; Luminosidade: 45.00
T: 932;  Temp: 36.00; Luminosidade: 45.00
T: 933;  Temp: 36.00; Luminosidade: 45.00
T: 934;  Temp: 36.00; Luminosidade: 45.00
T: 935;  Temp: 36.00; Luminosidade: 45.00
T: 936;  Temp: 36.00; Luminosidade: 45.00
T: 937;  Temp: 36.00; Luminosidade: 45.00
T: 938;  Temp: 36.00; Luminosidade: 45.00
T: 939;  Temp: 36.00; Luminosidade: 45.00
T: 940;  Temp: 36.00; Luminosidade: 45.00
T: 941;  Temp: 36.00; Luminosidade: 45.00
T: 942;  Temp: 36.00; Luminosidade: 45.00
T: 943;  Temp: 36.00; Luminosidade: 45.00
T: 944;  Temp: 36.00; Luminosidade: 45.00
T: 945;  Temp: 36.00; Luminosidade: 45.00
T: 946;  Temp: 35.00; Luminosidade: 45.00
T: 947;  Temp: 36.00; Luminosidade: 45.00
T: 948;  Temp: 36.00; Luminosidade: 45.00
T: 949;  Temp: 36.00; Luminosidade: 45.00
T: 950;  Temp: 36.00; Luminosidade: 45.00
T: 951;  Temp: 36.00; Luminosidade: 45.00
T: 952;  Temp: 36.00; Luminosidade: 45.00
T: 953;  Temp: 36.00; Luminosidade: 45.00
T: 954;  Temp: 36.00; Luminosidade: 45.00
T: 955;  Temp: 36.00; Luminosidade: 45.00
T: 956;  Temp: 36.00; Luminosidade: 45.00
T: 957;  Temp: 37.00; Luminosidade: 45.00
T: 958;  Temp: 36.00; Luminosidade: 45.00
T: 959;  Temp: 36.00; Luminosidade: 45.00
T: 960;  Temp: 36.00; Luminosidade: 45.00
T: 961;  Temp: 36.00; Luminosidade: 45.00
T: 962;  Temp: 36.00; Luminosidade: 45.00
T: 963;  Temp: 36.00; Luminosidade: 45.00
T: 964;  Temp: 37.00; Luminosidade: 45.00
T: 965;  Temp: 37.00; Luminosidade: 45.00
T: 966;  Temp: 37.00; Luminosidade: 45.00
T: 967;  Temp: 36.00; Luminosidade: 45.00
T: 968;  Temp: 37.00; Luminosidade: 45.00
T: 969;  Temp: 36.00; Luminosidade: 45.00
T: 970;  Temp: 37.00; Luminosidade: 45.00
T: 971;  Temp: 37.00; Luminosidade: 45.00
T: 972;  Temp: 37.00; Luminosidade: 45.00
T: 973;  Temp: 37.00; Luminosidade: 45.00
T: 974;  Temp: 37.00; Luminosidade: 45.00
T: 975;  Temp: 37.00; Luminosidade: 45.00
T: 976;  Temp: 37.00; Luminosidade: 45.00
T: 977;  Temp: 37.00; Luminosidade: 45.00
T: 978;  Temp: 36.00; Luminosidade: 45.00
T: 979;  Temp: 37.00; Luminosidade: 45.00
T: 980;  Temp: 37.00; Luminosidade: 45.00
T: 981;  Temp: 37.00; Luminosidade: 45.00
T: 982;  Temp: 37.00; Luminosidade: 45.00
T: 983;  Temp: 37.00; Luminosidade: 45.00
T: 984;  Temp: 37.00; Luminosidade: 45.00
T: 985;  Temp: 37.00; Luminosidade: 45.00
T: 986;  Temp: 37.00; Luminosidade: 45.00
T: 987;  Temp: 37.00; Luminosidade: 45.00
T: 988;  Temp: 36.00; Luminosidade: 45.00
T: 989;  Temp: 37.00; Luminosidade: 45.00
T: 990;  Temp: 37.00; Luminosidade: 45.00
T: 991;  Temp: 37.00; Luminosidade: 45.00
T: 992;  Temp: 37.00; Luminosidade: 45.00
T: 993;  Temp: 37.00; Luminosidade: 45.00
T: 994;  Temp: 37.00; Luminosidade: 45.00
T: 995;  Temp: 36.00; Luminosidade: 45.00
T: 996;  Temp: 37.00; Luminosidade: 45.00
T: 997;  Temp: 37.00; Luminosidade: 45.00
T: 998;  Temp: 37.00; Luminosidade: 45.00
T: 999;  Temp: 37.00; Luminosidade: 45.00
T: 1000;  Temp: 37.00; Luminosidade: 45.00
T: 1001;  Temp: 37.00; Luminosidade: 45.00
T: 1002;  Temp: 37.00; Luminosidade: 45.00
T: 1003;  Temp: 38.00; Luminosidade: 45.00
T: 1004;  Temp: 38.00; Luminosidade: 45.00
T: 1005;  Temp: 37.00; Luminosidade: 45.00
T: 1006;  Temp: 37.00; Luminosidade: 45.00
T: 1007;  Temp: 38.00; Luminosidade: 45.00
T: 1008;  Temp: 37.00; Luminosidade: 45.00
