T: 118;  Temp: 26.00; Luminosidade: 15.00
T: 119;  Temp: 26.00; Luminosidade: 15.00
T: 120;  Temp: 26.00; Luminosidade: 15.00
T: 121;  Temp: 26.00; Luminosidade: 15.00
T: 122;  Temp: 26.00; Luminosidade: 15.00
T: 123;  Temp: 26.00; Luminosidade: 15.00
T: 124;  Temp: 27.00; Luminosidade: 15.00
T: 125;  Temp: 26.00; Luminosidade: 15.00
T: 126;  Temp: 27.00; Luminosidade: 15.00
T: 127;  Temp: 26.00; Luminosidade: 15.00
T: 128;  Temp: 27.00; Luminosidade: 15.00
T: 129;  Temp: 26.00; Luminosidade: 15.00
T: 130;  Temp: 26.00; Luminosidade: 15.00
T: 131;  Temp: 26.00; Luminosidade: 15.00
T: 132;  Temp: 27.00; Luminosidade: 15.00
T: 133;  Temp: 26.00; Luminosidade: 15.00
T: 134;  Temp: 26.00; Luminosidade: 15.00
T: 135;  Temp: 27.00; Luminosidade: 15.00
T: 136;  Temp: 27.00; Luminosidade: 15.00
T: 137;  Temp: 27.00; Luminosidade: 15.00
T: 138;  Temp: 27.00; Luminosidade: 15.00
T: 139;  Temp: 27.00; Luminosidade: 15.00
T: 140;  Temp: 27.00; Luminosidade: 15.00
T: 141;  Temp: 27.00; Luminosidade: 15.00
T: 142;  Temp: 27.00; Luminosidade: 15.00
T: 143;  Temp: 27.00; Luminosidade: 15.00
T: 144;  Temp: 27.00; Luminosidade: 15.00
T: 145;  Temp: 27.00; Luminosidade: 15.00
T: 146;  Temp: 27.00; Luminosidade: 15.00
T: 147;  Temp: 27.00; Luminosidade: 15.00
T: 148;  Temp: 27.00; Luminosidade: 15.00
T: 149;  Temp: 27.00; Luminosidade: 15.00
T: 150;  Temp: 27.00; Luminosidade: 15.00
T: 151;  Temp: 27.00; Luminosidade: 15.00
T: 152;  Temp: 27.00; Luminosidade: 15.00
T: 153;  Temp: 27.00; Luminosidade: 15.00
T: 154;  Temp: 27.00; Luminosidade: 15.00
T: 155;  Temp: 27.00; Luminosidade: 15.00
T: 156;  Temp: 27.00; Luminosidade: 15.00
T: 157;  Temp: 27.00; Luminosidade: 15.00
T: 158;  Temp: 27.00; Luminosidade: 15.00
T: 159;  Temp: 27.00; Luminosidade: 15.00
T: 160;  Temp: 27.00; Luminosidade: 15.00
T: 161;  Temp: 27.00; Luminosidade: 15.00
T: 162;  Temp: 27.00; Luminosidade: 15.00
T: 163;  Temp: 27.00; Luminosidade: 15.00
T: 164;  Temp: 27.00; Luminosidade: 15.00
T: 165;  Temp: 27.00; Luminosidade: 15.00
T: 166;  Temp: 27.00; Luminosidade: 15.00
T: 167;  Temp: 27.00; Luminosidade: 15.00
T: 168;  Temp: 27.00; Luminosidade: 15.00
T: 169;  Temp: 27.00; Luminosidade: 15.00
T: 170;  Temp: 27.00; Luminosidade: 15.00
T: 171;  Temp: 27.00; Luminosidade: 15.00
T: 172;  Temp: 27.00; Luminosidade: 15.00
T: 173;  Temp: 27.00; Luminosidade: 15.00
T: 174;  Temp: 27.00; Luminosidade: 15.00
T: 175;  Temp: 27.00; Luminosidade: 15.00
T: 176;  Temp: 27.00; Luminosidade: 15.00
T: 177;  Temp: 27.00; Luminosidade: 15.00
T: 178;  Temp: 27.00; Luminosidade: 15.00
T: 179;  Temp: 27.00; Luminosidade: 15.00
T: 180;  Temp: 27.00; Luminosidade: 15.00
T: 181;  Temp: 27.00; Luminosidade: 15.00
T: 182;  Temp: 27.00; Luminosidade: 15.00
T: 183;  Temp: 27.00; Luminosidade: 15.00
T: 184;  Temp: 27.00; Luminosidade: 15.00
T: 185;  Temp: 27.00; Luminosidade: 15.00
T: 186;  Temp: 27.00; Luminosidade: 15.00
T: 187;  Temp: 27.00; Luminosidade: 15.00
T: 188;  Temp: 27.00; Luminosidade: 15.00
T: 189;  Temp: 27.00; Luminosidade: 15.00
T: 190;  Temp: 27.00; Luminosidade: 15.00
T: 191;  Temp: 27.00; Luminosidade: 15.00
T: 192;  Temp: 27.00; Luminosidade: 15.00
T: 193;  Temp: 27.00; Luminosidade: 15.00
T: 194;  Temp: 27.00; Luminosidade: 15.00
T: 195;  Temp: 27.00; Luminosidade: 15.00
T: 196;  Temp: 27.00; Luminosidade: 15.00
T: 197;  Temp: 27.00; Luminosidade: 15.00
T: 198;  Temp: 27.00; Luminosidade: 15.00
T: 199;  Temp: 27.00; Luminosidade: 15.00
T: 200;  Temp: 27.00; Luminosidade: 15.00
T: 201;  Temp: 27.00; Luminosidade: 15.00
T: 202;  Temp: 27.00; Luminosidade: 15.00
T: 203;  Temp: 27.00; Luminosidade: 15.00
T: 204;  Temp: 27.00; Luminosidade: 15.00
T: 205;  Temp: 27.00; Luminosidade: 15.00
T: 206;  Temp: 27.00; Luminosidade: 15.00
T: 207;  Temp: 27.00; Luminosidade: 15.00
T: 208;  Temp: 27.00; Luminosidade: 15.00
T: 209;  Temp: 27.00; Luminosidade: 15.00
T: 210;  Temp: 27.00; Luminosidade: 15.00
T: 211;  Temp: 27.00; Luminosidade: 15.00
T: 212;  Temp: 27.00; Luminosidade: 15.00
T: 213;  Temp: 27.00; Luminosidade: 15.00
T: 214;  Temp: 27.00; Luminosidade: 15.00
T: 215;  Temp: 27.00; Luminosidade: 15.00
T: 216;  Temp: 27.00; Luminosidade: 15.00
T: 217;  Temp: 27.00; Luminosidade: 15.00
T: 218;  Temp: 27.00; Luminosidade: 15.00
T: 219;  Temp: 27.00; Luminosidade: 15.00
T: 220;  Temp: 27.00; Luminosidade: 15.00
T: 221;  Temp: 27.00; Luminosidade: 15.00
T: 222;  Temp: 27.00; Luminosidade: 15.00
T: 223;  Temp: 27.00; Luminosidade: 15.00
T: 224;  Temp: 27.00; Luminosidade: 15.00
T: 225;  Temp: 27.00; Luminosidade: 15.00
T: 226;  Temp: 27.00; Luminosidade: 15.00
T: 227;  Temp: 27.00; Luminosidade: 15.00
T: 228;  Temp: 27.00; Luminosidade: 15.00
T: 229;  Temp: 27.00; Luminosidade: 15.00
T: 230;  Temp: 27.00; Luminosidade: 15.00
T: 231;  Temp: 27.00; Luminosidade: 15.00
T: 232;  Temp: 27.00; Luminosidade: 15.00
T: 233;  Temp: 27.00; Luminosidade: 15.00
T: 234;  Temp: 27.00; Luminosidade: 15.00
T: 235;  Temp: 27.00; Luminosidade: 15.00
T: 236;  Temp: 28.00; Luminosidade: 15.00
T: 237;  Temp: 28.00; Luminosidade: 15.00
T: 238;  Temp: 27.00; Luminosidade: 15.00
T: 239;  Temp: 28.00; Luminosidade: 15.00
T: 240;  Temp: 27.00; Luminosidade: 15.00
T: 241;  Temp: 27.00; Luminosidade: 15.00
T: 242;  Temp: 28.00; Luminosidade: 15.00
T: 243;  Temp: 27.00; Luminosidade: 15.00
T: 244;  Temp: 27.00; Luminosidade: 15.00
T: 245;  Temp: 27.00; Luminosidade: 15.00
T: 246;  Temp: 27.00; Luminosidade: 15.00
T: 247;  Temp: 28.00; Luminosidade: 15.00
T: 248;  Temp: 28.00; Luminosidade: 15.00
